filename,attribution,lat,long,date,species,sr
XC26332 - White-crowned Cuckoo - Cacomantis leucolophus.wav,"Sam Woods, XC26332. Accessible at www.xeno-canto.org/26332.",-9.4667,147.3834,2008,Cacomantis leucolophus,44100
XC40178 - White-bellied Goshawk - Accipiter haplochrous.wav,"Patrik �berg, XC40178. Accessible at www.xeno-canto.org/40178.",-21.650727,165.769444,2009,Accipiter haplochrous,44100
XC40558 - Plum-faced Lorikeet - Oreopsittacus arfaki.wav,"Patrik �berg, XC40558. Accessible at www.xeno-canto.org/40558.",-4.138329,138.67424,2009,Oreopsittacus arfaki,44100
XC77341 - Masked Shining Parrot - Prosopeia personata.wav,"Mark O'Brien, XC77341. Accessible at www.xeno-canto.org/77341.",-18.0598,178.4698,2010,Prosopeia personata,44100
XC50106 - Golden-crowned Warbler - Basileuterus culicivorus.wav,"Rosendo Fraga, XC50106. Accessible at www.xeno-canto.org/50106.",-31.85,-58.3,1983,Basileuterus culicivorus,44100
XC20187 - Rufous-vented Tapaculo - Scytalopus femoralis.wav,"Niels Krabbe, XC20187. Accessible at www.xeno-canto.org/20187.",-5.7667,-77.7001,1983,Scytalopus femoralis,44100
XC47125 - Snail Kite - Rostrhamus sociabilis sociabilis.wav,"Niels Krabbe, XC47125. Accessible at www.xeno-canto.org/47125.",-36.4001,-56.9167,1984,Rostrhamus sociabilis,44100
XC601773 - Pied-billed Grebe - Podilymbus podiceps.wav,"Peter Ward and Ken Hall, XC601773. Accessible at www.xeno-canto.org/601773.",49.287,-119.5804,1985,Podilymbus podiceps,44100
XC274966 - Great Jacamar - Jacamerops aureus isidori.wav,"Robert S. Ridgely, XC274966. Accessible at www.xeno-canto.org/274966.",-0.398,-76.128,1986,Jacamerops aureus isidori,44100
XC47628 - Pacific Hornero - Furnarius cinnamomeus.wav,"Niels Krabbe, XC47628. Accessible at www.xeno-canto.org/47628.",-5.86,-79.71,1987,Furnarius cinnamomeus,44100
XC60256 - Southern Antpipit - Corythopis delalandi.wav,"Miguel Castelino, XC60256. Accessible at www.xeno-canto.org/60256.",-25.6,-54.4,1989,Corythopis delalandi,32000
XC135944 - Gila Woodpecker - Melanerpes uropygialis.wav,"Dan Lane, XC135944. Accessible at www.xeno-canto.org/135944.",32.2349,-111.1624,1990,Melanerpes uropygialis,44100
XC6592 - Russet Antshrike - Thamnistes anabatinus intermedius.wav,"Nick Athanas, XC6592. Accessible at www.xeno-canto.org/6592.",-3.6501,-79.7667,2002,Thamnistes anabatinus intermedius,44100
XC80412 - Cryptic Antthrush - Chamaeza meruloides.wav,"Jeremy Minns, XC80412. Accessible at www.xeno-canto.org/80412.",-14.3834,-40.1001,2002,Chamaeza meruloides,44100
XC230632 - Cinereous Antshrike - Thamnomanes caesius.wav,"Peter Boesman, XC230632. Accessible at www.xeno-canto.org/230632.",6.2,-61.4,2002,Thamnomanes caesius,44100
XC15657 - Broad-billed Motmot - Electron platyrhynchum.wav,"Don Jones, XC15657. Accessible at www.xeno-canto.org/15657.",9.09252,-79.65251,2002,Electron platyrhynchum,44100
XC258752 - Ecuadorian Tyrannulet - Phylloscartes gualaquizae.wav,"John V. Moore, XC258752. Accessible at www.xeno-canto.org/258752.",-0.894,-77.725,2004,Phylloscartes gualaquizae,44100
XC59983 - Brown-hooded Gull - Chroicocephalus maculipennis.wav,"Alvaro Jaramillo, XC59983. Accessible at www.xeno-canto.org/59983.",-53.29,-70.36,2005,Chroicocephalus maculipennis,44100
XC211354 - Canada Goose - Branta canadensis.wav,"Daniel Parker, XC211354. Accessible at www.xeno-canto.org/211354.",41.2,-73.8,2014,Branta canadensis,44100
XC212142 - Common Starling - Sturnus vulgaris.wav,"Daniel Parker, XC212142. Accessible at www.xeno-canto.org/212142.",41.1987,-73.8832,2014,Sturnus vulgaris,44100
XC166271 - Green-billed Toucan - Ramphastos dicolorus.wav,"Antonio de Almeida Correia Junior, XC166271. Accessible at www.xeno-canto.org/166271.",-26.4895,-52.2009,2014,Ramphastos dicolorus,44100
XC165902 - Black-tailed Gnatcatcher - Polioptila melanura.wav,"Scott Olmstead, XC165902. Accessible at www.xeno-canto.org/165902.",32.248,-111.26,2014,Polioptila melanura,44100
XC169392 - Western Tanager - Piranga ludoviciana.wav,"Micah Riegner, XC169392. Accessible at www.xeno-canto.org/169392.",18.9903,-99.0788,2014,Piranga ludoviciana,48000
XC477071 - Orange-crested Manakin - Heterocercus aurantiivertex.wav,"Jerome Fischer, XC477071. Accessible at www.xeno-canto.org/477071.",-0.4383,-76.2791,2019,Heterocercus aurantiivertex,44100
XC480197 - Lance-tailed Manakin - Chiroxiphia lanceolata.wav,"Rolf A. de By, XC480197. Accessible at www.xeno-canto.org/480197.",11.2902,-73.9111,2019,Chiroxiphia lanceolata,44100
XC204828 - Fieldfare - Turdus pilaris.wav,"Mikael Litsg�rd, XC204828. Accessible at www.xeno-canto.org/204828.",60.5939,15.6026,1979,Turdus pilaris,44100
XC25744 - Lesser Whitethroat - Curruca curruca.wav,"Niels Krabbe, XC25744. Accessible at www.xeno-canto.org/25744.",54.9167,9.8834,1983,Curruca curruca,44100
XC214089 - Spotted Crake - Porzana porzana.wav,"Ilkka Heiskanen, XC214089. Accessible at www.xeno-canto.org/214089.",61.0447,25.4906,1984,Porzana porzana,44100
XC591589 - Greylag Goose - Anser anser.wav,"Simon Elliott, XC591589. Accessible at www.xeno-canto.org/591589.",55.1369,-2.1012,1989,Anser anser,44100
XC214060 - Common Chaffinch - Fringilla coelebs.wav,"Ilkka Heiskanen, XC214060. Accessible at www.xeno-canto.org/214060.",60.9468,32.6695,1992,Fringilla coelebs,44100
XC904544 - Identity unknown (1)_01.wav,"George Vlad, XC904544. Accessible at www.xeno-canto.org/904544.",-18.8402,44.8252,2022,chorus,48000
XC858336 - Identity unknown_01.wav,"Greg Irving, XC858336. Accessible at www.xeno-canto.org/858336.",19.9021,99.5955,2023,chorus,48000
XC800591 - Identity unknown_01.wav,"Stanislas Wroza, XC800591. Accessible at www.xeno-canto.org/800591.",42.965,9.4512,2023,chorus,96000
XC904544 - Identity unknown_01.wav,"George Vlad, XC904544. Accessible at www.xeno-canto.org/904544.",-18.8402,44.8252,2022,chorus,48000
